,Unnamed: 0,text,label_name,label,clean_text
20,20,"it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie's various victimized audience members after a while , but it also happens to be the movie's most admirable quality
",1,1,may somewhat backhanded compliment say film make viewer feel like movie various victimize audience member also happen movie admirable quality
21,21,"a very funny movie . 
",1,1,funny movie
22,22,"imagine a scenario where bergman approaches swedish fatalism using gary larson's far side humor
",1,1,imagine scenario bergman approach swedish fatalism use gary larson far side humor
23,23,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . 
",1,1,[num] minute treasure planet maintain brisk pace race familiar story however lack grandeur epic quality often associate stevenson tale well early disney effort
24,24,"a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers . 
",1,1,lot fun undeniable energy spark two actress work peak power
25,25,"a vivid , sometimes surreal , glimpse into the mysteries of human behavior . 
",1,1,vivid sometimes surreal glimpse mystery human behavior
26,26,"the film is a verbal duel between two gifted performers . 
",1,1,film verbal duel two gifted performer
27,27,"it's a very valuable film . . . 
",1,1,valuable film
28,28,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . 
",1,1,director kapur filmmaker real flair epic landscape adventure well film early english language movie overpraise elizabeth
29,29,"i love the way that it took chances and really asks you to take these great leaps of faith and pays off . 
",1,1,love way take chance really ask take great leaps faith pay
30,30,"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length . 
",1,1,take care nicely perform quintet actress nonetheless drag [num] minute length
31,31,"expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women . 
",1,1,expect major discovery stylish sizzle film sit square conviction touch good sense experience woman
32,32,"while not all transitions to adulthood are so fraught , there's much truth and no small amount of poetry in girls can't swim . 
",1,1,transition adulthood fraught much truth small amount poetry girl n't swim
33,33,"funny , sexy , devastating and incurably romantic . 
",1,1,funny sexy devastate incurably romantic
34,34,"that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and consolation in afterlife communications . 
",1,1,death merely transition common tenet world religion deeply spiritual film tap mean consolation afterlife communications
35,35,"a highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world . 
",1,1,highly personal look effect live dysfunctionally privileged lifestyle end wish could spend time world
36,36,"absorbing character study by andrй turpin . 
",1,1,absorb character study andr turpin
37,37,"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor . 
",1,1,skin desolate air eyre native american raise white parent manage infuse rocky path sible reconciliation flash warmth gentle humor
38,38,"world traveler might not go anywhere new , or arrive anyplace special , but it's certainly an honest attempt to get at something . 
",1,1,world traveler may anywhere new arrive anyplace special certainly honest attempt get something
39,39,"a pleasing , often-funny comedy . 
",1,1,pleasing often funny comedy
40,40,"what enlivens this film , beyond the astute direction of cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates . 
",1,1,enlivens film beyond astute direction cardoso beautifully detail performance actor note defiance social dictates
41,41,"a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger . should be required viewing for civics classes and would-be public servants alike . 
",1,1,fascinating bombshell documentary shame americans regardless whether ultimate blame finally lie kissinger require view civic class would public servant alike
42,42,"it's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . you don't want to call the cops . you want to call domino's . 
",1,1,like house party watch host defend froth girlfriend n't want call cop want call domino
43,43,"contrasting the original ringu with the current americanized adaptation is akin to comparing the evil dead with evil dead ii
",1,1,contrast original ringu current americanize adaptation akin compare evil dead evil dead
44,44,"fans of critics' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart . 
",1,1,fans critics darle band wilco marvel sometimes murky always brood look try break heart
45,45,"a film of precious increments artfully camouflaged as everyday activities . 
",1,1,film precious increment artfully camouflage everyday activity
46,46,"greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by schweig , who carries the film on his broad , handsome shoulders . 
",1,1,greene deliver typically solid performance role bit departure noble character play past match schweig carry film broad handsome shoulder
47,47,"the film is a fierce dance of destruction . its flame-like , roiling black-and-white inspires trembling and gratitude . 
",1,1,film fierce dance destruction flame like roil black white inspire tremble gratitude
48,48,"a wonderful , ghastly film . 
",1,1,wonderful ghastly film
49,49,"stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe . 
",1,1,stanley kwan direct one good gay love story ever make one good love story stripe
50,50,"people cinema at its finest . 
",1,1,people cinema fine
51,51,"one of the funniest motion pictures of the year , but . . . also one of the most curiously depressing . 
",1,1,one funniest motion picture year also one curiously depressing
52,52,"steven soderbergh's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life . 
",1,1,steven soderbergh digital video experiment clever cutting quick dirty look modern living movie life
53,53,"suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers . 
",1,1,suffer timid parse barn side target son try breach gap relationship father
54,54,"a moving and important film . 
",1,1,move important film
55,55,"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip . 
",1,1,[num] friend [num] couple [num] mile pabst blue ribbon beer drink ultimate redneck road trip
56,56,"all comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad . 
",1,1,comedy subversive unrelenting bleak insistence opt opportunity find meaning relationship work become sad
57,57,"only two words will tell you what you know when deciding to see it : anthony . hopkins . 
",1,1,two word tell know decide see anthony hopkins
58,58,"it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity . 
",1,1,come age story see bits films rarely tell affect grace cultural specificity
59,59,"claire is a terrific role for someone like judd , who really ought to be playing villains . 
",1,1,claire terrific role someone like judd really ought play villain
60,60,"for those who are intrigued by politics of the '70s , the film is every bit as fascinating as it is flawed . 
",1,1,intrigue politic film every bit fascinating flawed
61,61,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing . 
",1,1,take entertainment tonight subject matter give humor poignancy auto focus become gut bustingly funny crushingly depress
62,62,"a clever script and skilled actors bring new energy to the familiar topic of office politics . 
",1,1,clever script skilled actor bring new energy familiar topic office politic
63,63,"the cast is phenomenal , especially the women . 
",1,1,cast phenomenal especially woman
64,64,"nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book . 
",1,1,nettelbeck craft engage fantasy flavours emotion one part romance novel one part recipe book
65,65,"i admired it , particularly that unexpected downer of an ending . 
",1,1,admired particularly unexpected downer end
66,66,"the film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties . 
",1,1,film almost unbearable portrait sadness grief transcend specific story speak way need history presumption tangle sometimes destroy blood tie
67,67,"payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human . 
",1,1,payne constructs hilarious ode middle america middle age unlikely odyssey feature pathetic endear hero human
68,68,"the first half bursts with a goofy energy previous disney films only used for a few minutes here and there . 
",1,1,first half burst goofy energy previous disney film use minute
69,69,"about schmidt is nicholson's goofy , heartfelt , mesmerizing king lear . 
",1,1,schmidt nicholson goofy heartfelt mesmerize king lear
70,70,"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic . 
",1,1,smart provocative drama nearly impossible get skin man know evil monstrous lunatic
71,71,"see it . debate it . remember it . 
",1,1,see debate remember
72,72,"it's tough to watch , but it's a fantastic movie . 
",1,1,tough watch fantastic movie
73,73,"exciting documentary . 
",1,1,exciting documentary
74,74,"cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most . 
",1,1,cut layers soap opera emotion find scathe portrayal powerful entity strangle life people want believe
75,75,"highly engaging . 
",1,1,highly engage
76,76,"succeeds only because bullock and grant were made to share the silver screen . 
",1,1,succeed bullock grant make share silver screen
77,77,"mazel tov to a film about a family's joyous life acting on the yiddish stage . 
",1,1,mazel tov film family joyous life act yiddish stage
78,78,"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i'm all for that . 
",1,1,character well establish gang feel comfortable take insane liberty goofy stuff leave field -pron-
79,79,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '
",1,1,celebrates group playful spark nonconformity glance vividly back hibiscus grandly call angel light
80,80,"strange and beautiful film . 
",1,1,strange beautiful film
81,81,"makes an aborbing if arguable case for the man's greatness . 
",1,1,make aborbe arguable case man greatness
82,82,"though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia's true emotions . . . but at the very least , his secret life will leave you thinking . 
",1,1,though intrepid explore attraction cross sexual identity ozpetek fall short show -pron- antonia true emotion least secret life leave thinking
83,83,"the amazing film work is so convincing that by movies' end you'll swear you are wet in some places and feel sand creeping in others . 
",1,1,amazing film work convincing movie end will swear wet place feel sand creep other
84,84,"it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . 
",1,1,great deal sizzle little steak spectacular sizzle incarnation fizz infectious
85,85,"an indispensable peek at the art and the agony of making people laugh . 
",1,1,indispensable peek art agony make people laugh
86,86,"evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good . 
",1,1,evoke little fear parent possible future child sometimes bad choice mother father make interest good
87,87,"a stylistic romp that's always fun to watch . 
",1,1,stylistic romp always fun watch
88,88,"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story . 
",1,1,different other genre rely dumb gag anatomical humor character cliche primarily rely character tell story
89,89,"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway . 
",1,1,britney deliver big screen safe sound way like [num] year old superstar girl travel fame freeway
90,90,"a culture-clash comedy that , in addition to being very funny , captures some of the discomfort and embarrassment of being a bumbling american in europe . 
",1,1,culture clash comedy addition funny capture discomfort embarrassment bumble american europe
91,91,"an old-fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue . 
",1,1,old fashioned drama substance teacher slide slippery slope dishonesty encounter rich powerful nothing disdain virtue
92,92," . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . 
",1,1,visually seductive unrepentantly trashy take rice second installment vampire chronicle
93,93,"argento , at only 26 , brings a youthful , out-to-change-the-world aggressiveness to the project , as if she's cut open a vein and bled the raw film stock . 
",1,1,argento [num] bring youthful change world aggressiveness project cut open vein bleed raw film stock
94,94,"graced with the kind of social texture and realism that would be foreign in american teen comedies . 
",1,1,grace kind social texture realism would foreign american teen comedy
95,95,"what makes esther kahn so demanding is that it progresses in such a low-key manner that it risks monotony . but it's worth the concentration . 
",1,1,make esther kahn demand progress low key manner risk monotony worth concentration
96,96,"anyone who ever fantasized about space travel but can't afford the $20 million ticket to ride a russian rocket should catch this imax offering . 
",1,1,anyone ever fantasize space travel n't afford [num] million ticket ride russian rocket catch imax offering
97,97,"thoroughly enjoyable . 
",1,1,thoroughly enjoyable
98,98,"a terrific b movie -- in fact , the best in recent memory . 
",1,1,terrific movie fact good recent memory
99,99,"at times funny and at other times candidly revealing , it's an intriguing look at two performers who put themselves out there because they love what they do . 
",1,1,time funny time candidly reveal intriguing look two performer put love
100,100,"a film in a class with spike lee's masterful do the right thing . 
",1,1,film class spike lee masterful right thing
101,101,"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise . 
",1,1,building slowly subtly film sport breezy spontaneity realistically draw characterization develop significant character study move wise
102,102,"you watch for that sense of openness , the little surprises . 
",1,1,watch sense openness little surprise
103,103,"[gulpilil] is a commanding screen presence , and his character's abundant humanism makes him the film's moral compass . 
",1,1,gulpilil commanding screen presence character abundant humanism make film moral compass
104,104,"an enjoyable feel-good family comedy regardless of race . 
",1,1,enjoyable feel good family comedy regardless race
105,105,"it's not a great monster movie . but if you've paid a matinee price and bought a big tub of popcorn , there's guilty fun to be had here . chomp chomp ! 
",1,1,great monster movie pay matinee price buy big tub popcorn guilty fun chomp chomp
106,106,"for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . 
",1,1,film advertise comedy sweet home alabama n't funny hope film advertise comedy sweet home alabama n't funny have hope
107,107,"heaven is a haunting dramatization of a couple's moral ascension . 
",1,1,heaven haunting dramatization couple moral ascension
108,108,"while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation . 
",1,1,object idea vietnam picture rah rah patriotic tone soldier ultimately achieve main strategic objective dramatize human cost conflict come define generation
109,109,"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need . 
",1,1,look intelligent movie release pen anger enough ticket need
110,110,"my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it's virtually its own hollywood remake . 
",1,1,wife actress utterly charming french comedy feel american sensibility style virtually hollywood remake
111,111," "" it's all about the image . "" 
",1,1,image
112,112,"to honestly address the flaws inherent in how medical aid is made available to american workers , a more balanced or fair portrayal of both sides will be needed . 
",1,1,honestly address flaw inherent medical aid make available american worker balanced fair portrayal side need
113,113,"an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation . 
",1,1,ingenious often harrow look damage people family offer either despair consolation
114,114,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . 
",1,1,good film year far benchmark good picture contender measure
115,115,"not a film to rival to live , but a fine little amuse-bouche to keep your appetite whetted . 
",1,1,film rival live fine little amuse bouche keep appetite whet
116,116,"it's a diverting enough hour-and-a-half for the family audience . 
",1,1,divert enough hour half family audience
117,117,"on its own , big trouble could be considered a funny little film . 
",1,1,big trouble could consider funny little film
118,118,"there's no reason to miss interview with the assassin
",1,1,reason miss interview assassin
119,119,"just about the surest bet for an all-around good time at the movies this summer . 
",1,1,sure bet around good time movie summer
120,120,"perhaps it's cliche to call the film 'refreshing , ' but it is . 'drumline' shows a level of young , black manhood that is funny , touching , smart and complicated . 
",1,1,perhaps cliche call film refreshing drumline show level young black manhood funny touching smart complicated
121,121,"if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force . 
",1,1,totally weirde notion cinema community therapy spectacle quit hit home disorienting force
122,122,"jeffrey tambor's performance as the intelligent jazz-playing exterminator is oscar-worthy . 
",1,1,jeffrey tambor performance intelligent jazz play exterminator oscar worthy
123,123,"despite its old-hat set-up and predictable plot , empire still has enough moments to keep it entertaining . 
",1,1,despite old hat set predictable plot empire still enough moment keep entertain
124,124,"more than anything else , kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again . 
",1,1,anything else kiss jessica stein inject freshness spirit romantic comedy genre hold hostage generic script seek remake sleepless seattle
125,125,"pray's film works well and will appeal even to those who aren't too familiar with turntablism . 
",1,1,pray film work well appeal even n't familiar turntablism
126,126,"jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers . 
",1,1,jones tackle meaty subject draw engaging character pepper page memorable zinger
127,127,"a stirring road movie . 
",1,1,stir road movie
128,128,"suspend your disbelief here and now , or you'll be shaking your head all the way to the credits . 
",1,1,suspend disbelief will shake head way credit
129,129,"effective but too-tepid biopic
",1,1,effective tepid biopic
130,130,"works as pretty contagious fun . 
",1,1,work pretty contagious fun
131,131,"we want the funk - and this movie's got it . 
",1,1,want funk movie get
132,132,"the film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work . 
",1,1,film darkly funny observation much grueling time consume illusion work actual work
133,133,"one of the funnier movies in town . 
",1,1,one funny movie town
134,134,"[has] an immediacy and an intimacy that sucks you in and dares you not to believe it's all true . 
",1,1,immediacy intimacy suck dare believe true
135,135,"fans of the modern day hong kong action film finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for . 
",1,1,fan modern day hong kong action film finally worthy successor well tomorrow killer patiently wait
136,136,"it's a good film , but it falls short of its aspiration to be a true 'epic' . 
",1,1,good film fall short aspiration true epic
137,137,"its rawness and vitality give it considerable punch . 
",1,1,rawness vitality give considerable punch
138,138,"take any 12-year-old boy to see this picture , and he'll be your slave for a year . 
",1,1,take [num] year old boy see picture will slave year
139,139,"a rather brilliant little cult item : a pastiche of children's entertainment , superhero comics , and japanese animation . 
",1,1,rather brilliant little cult item pastiche child entertainment superhero comic_strip japanese animation
140,140,"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece . 
",1,1,exuberantly romantic serenely melancholy time may prove tsai masterpiece
141,141,"a good piece of work more often than not . 
",1,1,good piece work often
142,142,"a compelling story of musical passion against governmental odds . 
",1,1,compelling story musical passion governmental odd
143,143,"invigorating , surreal , and resonant with a rainbow of emotion . 
",1,1,invigorating surreal resonant rainbow emotion
144,144,"a resonant tale of racism , revenge and retribution . 
",1,1,resonant tale racism revenge retribution
145,145,"frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him . 
",1,1,frei assemble fascinating profile deeply humanistic artist spite witness remain surprisingly idealistic retain extraordinary faith ability image communicate truth world around
146,146,"mr . polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival . 
",1,1,polanski element alone abandon still console art ever reveal source spiritual survival
147,147,"at nearly three hours , the whole of safe conduct is less than the sum of its parts . 
",1,1,nearly three hour whole safe conduct less sum part
148,148,"that rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film . 
",1,1,rare documentary incorporate much human experience drama conflict tear surprise transcend normal division fiction nonfiction film
149,149,"haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you're not sure if you should applaud or look into having him committed . 
",1,1,hayne fanatically fetishize every bizarre old movie idiosyncrasy monastic devotion sure applaud look commit
150,150,"the film grows on you . and how . 
",1,1,film grow
151,151,"what makes the movie work — to an admittedly limited extent — is the commitment of two genuinely engaging performers . weaver and lapaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk . 
",1,1,make movie work admittedly limit extent commitment two genuinely engage performer weaver lapaglia excellent kind low key way allow -pron- forget actually movie folk
152,152,"goofy , nutty , consistently funny . and educational ! 
",1,1,goofy nutty consistently funny educational
153,153,"a subtle , humorous , illuminating study of politics , power and social mobility . 
",1,1,subtle humorous illuminate study politic power social mobility
154,154,"steers , in his feature film debut , has created a brilliant motion picture . 
",1,1,steer feature film debut create brilliant motion picture
155,155,"wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture . 
",1,1,wickedly funny visually engross never boring movie challenge -pron- think way consume pop culture
156,156,"a plethora of engaging diatribes on the meaning of 'home , ' delivered in grand passion by the members of the various households . 
",1,1,plethora engage diatribe mean home deliver grand passion member various household
157,157,"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . 
",1,1,altogether successful film time touch reconsideration familiar masterpiece
158,158,"impresses you with its open-endedness and surprises . 
",1,1,impress open endedness surprise
159,159,"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs . 
",1,1,although occasionally static point resemble stage play film deliver solid mixture sweetness laugh
160,160,"full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , time out is a discreet moan of despair about entrapment in the maze of modern life . 
",1,1,full bland hotel highway parking lot glimpse nature family warmth time discreet moan despair entrapment maze modern life
161,161,"its compelling mix of trial movie , escape movie and unexpected fable ensures the film never feels draggy . 
",1,1,compelling mix trial movie escape movie unexpected fable ensure film never feel draggy
162,162,"the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) third…emotionally belittle a cinema classic . sometimes shorter is better . 
",1,1,paradiso rusted ruin ultimate collapse film final restore third emotionally belittle cinema classic sometimes short better
163,163,"a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age . 
",1,1,captivate come age story may also first narrative film truly inform wireless age
164,164,"the script's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off . 
",1,1,script snazzy dialogue establish realistic atmosphere involve -pron- unfold crisis lazy plotting ensure little emotional investment pay
165,165,"the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year . 
",1,1,second chapter harry potter series even magical first simply good family film year
166,166,"but this is lohman's film . her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks . 
",1,1,lohman film performance move heartbreak rebellion continually try accommodate fit gain unconditional love seek
167,167,"anchored by a terrific performance by abbass , satin rouge shows that the idea of women's self-actualization knows few continental divides . 
",1,1,anchor terrific performance abbass satin rouge show idea woman self actualization know continental divide
168,168,"[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll . 
",1,1,scherfig make movie leave wonder character live clever credit roll
169,169,"it's stylishly directed with verve . . . 
",1,1,stylishly direct verve
170,170,"great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex . 
",1,1,great fun sports aficionados ordinary lout whose idea exercise climb step stadium seat megaplex
171,171,"the whole mildly pleasant outing -- the r rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of tim allen . 
",1,1,whole mildly pleasant out rating brief nudity grisly corpse remain aloft self referential hot air inspire performance tim allen
172,172,"most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness . 
",1,1,crush clever captivate romantic comedy welcome pinch tartness
173,173,"several degrees shy of the gross-out contests one expects from current teen fare . 
",1,1,several degree shy gross contest one expect current teen fare
174,174,"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it . 
",1,1,n't know precisely make steven soderbergh full frontal though n't stop enjoy much
175,175,"certainly the performances are worthwhile . 
",1,1,certainly performance worthwhile
176,176,"there's a disreputable air about the whole thing , and that's what makes it irresistible . 
",1,1,disreputable air whole thing make irresistible
177,177,"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars
",1,1,wonder hope magic never escape heart boy right movie come along especially begin name star war
178,178,"buy is an accomplished actress , and this is a big , juicy role . 
",1,1,buy accomplished actress big juicy role
179,179,"this one is strictly a lightweight escapist film . 
",1,1,one strictly lightweight escapist film
180,180,"it's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas . 
",1,1,something ultimate scorsese film stomach turn violence colorful new york gang lore hallmark personal cinema paint large ever historical canvas
181,181,"the movie is a trove of delights . 
",1,1,movie trove delight
182,182,"an elegant , exquisitely modulated psychological thriller . 
",1,1,elegant exquisitely modulated psychological thriller
183,183,"you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report . 
",1,1,emerge clear view gear justice grind death report come share airtime alongside farm report
184,184," . . . while dark water isn't a complete wash ( no pun intended ) , watched side-by-side with ringu , it ultimately comes off as a pale successor . 
",1,1,dark water n't complete wash pun intend watch side side ringu ultimately come pale successor
185,185,"intimate and panoramic . 
",1,1,intimate panoramic
186,186,"an exquisitely crafted and acted tale . 
",1,1,exquisitely craft act tale
187,187,"still pretentious and filled with subtext , but entertaining enough at 'face value' to recommend to anyone looking for something different . 
",1,1,still pretentious fill subtext entertain enough face value recommend anyone look something different
188,188,"an amusing , breezily apolitical documentary about life on the campaign trail . 
",1,1,amusing breezily apolitical documentary life campaign trail
189,189,"a very capable nailbiter . 
",1,1,capable nailbiter
190,190,"this is one of those war movies that focuses on human interaction rather than battle and action sequences . . . and it's all the stronger because of it . 
",1,1,one war movie focus human interaction rather battle action sequence strong
191,191,"stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid . 
",1,1,stevens flair dialogue comedy film operate nicely element surprise large cast solid
192,192,"maggie smith as the ya-ya member with the o2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment . 
",1,1,maggie smith member tank absolutely crack crass gasp gas verbal deportment
193,193,"entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining ! 
",1,1,entirely suspenseful extremely well pace ultimately dare say entertaining
194,194,"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer . 
",1,1,see wheel turn may resent sometimes still nice little picture make bright friendly soul lot good cheer
195,195,"foster breathes life into a roll that could have otherwise been bland and run of the mill . 
",1,1,foster breathe life roll could otherwise bland run mill
196,196,"a serviceable euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom — handguns , bmws and seaside chateaus . 
",1,1,serviceable euro trash action extravaganza decent sense humor plenty thing boom handgun bmws seaside chateaus
197,197,"'possession , ' based on the book by a . s . byatt , demands that labute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit
",1,1,possession base book byatt demand labute deal subject love head trade cynicism reverence little wit
