,text,label_name,label
46,"greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by schweig , who carries the film on his broad , handsome shoulders . 
",1,1
47,"the film is a fierce dance of destruction . its flame-like , roiling black-and-white inspires trembling and gratitude . 
",1,1
48,"a wonderful , ghastly film . 
",1,1
49,"stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe . 
",1,1
50,"people cinema at its finest . 
",1,1
51,"one of the funniest motion pictures of the year , but . . . also one of the most curiously depressing . 
",1,1
52,"steven soderbergh's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life . 
",1,1
53,"suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers . 
",1,1
54,"a moving and important film . 
",1,1
55,"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip . 
",1,1
56,"all comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad . 
",1,1
57,"only two words will tell you what you know when deciding to see it : anthony . hopkins . 
",1,1
58,"it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity . 
",1,1
59,"claire is a terrific role for someone like judd , who really ought to be playing villains . 
",1,1
60,"for those who are intrigued by politics of the '70s , the film is every bit as fascinating as it is flawed . 
",1,1
61,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing . 
",1,1
62,"a clever script and skilled actors bring new energy to the familiar topic of office politics . 
",1,1
63,"the cast is phenomenal , especially the women . 
",1,1
64,"nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book . 
",1,1
65,"i admired it , particularly that unexpected downer of an ending . 
",1,1
66,"the film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties . 
",1,1
67,"payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human . 
",1,1
68,"the first half bursts with a goofy energy previous disney films only used for a few minutes here and there . 
",1,1
69,"about schmidt is nicholson's goofy , heartfelt , mesmerizing king lear . 
",1,1
70,"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic . 
",1,1
71,"see it . debate it . remember it . 
",1,1
72,"it's tough to watch , but it's a fantastic movie . 
",1,1
73,"exciting documentary . 
",1,1
74,"cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most . 
",1,1
75,"highly engaging . 
",1,1
76,"succeeds only because bullock and grant were made to share the silver screen . 
",1,1
77,"mazel tov to a film about a family's joyous life acting on the yiddish stage . 
",1,1
78,"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i'm all for that . 
",1,1
79,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '
",1,1
80,"strange and beautiful film . 
",1,1
81,"makes an aborbing if arguable case for the man's greatness . 
",1,1
82,"though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia's true emotions . . . but at the very least , his secret life will leave you thinking . 
",1,1
83,"the amazing film work is so convincing that by movies' end you'll swear you are wet in some places and feel sand creeping in others . 
",1,1
84,"it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . 
",1,1
85,"an indispensable peek at the art and the agony of making people laugh . 
",1,1
86,"evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good . 
",1,1
87,"a stylistic romp that's always fun to watch . 
",1,1
88,"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story . 
",1,1
89,"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway . 
",1,1
90,"a culture-clash comedy that , in addition to being very funny , captures some of the discomfort and embarrassment of being a bumbling american in europe . 
",1,1
91,"an old-fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue . 
",1,1
92," . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . 
",1,1
93,"argento , at only 26 , brings a youthful , out-to-change-the-world aggressiveness to the project , as if she's cut open a vein and bled the raw film stock . 
",1,1
94,"graced with the kind of social texture and realism that would be foreign in american teen comedies . 
",1,1
95,"what makes esther kahn so demanding is that it progresses in such a low-key manner that it risks monotony . but it's worth the concentration . 
",1,1
96,"anyone who ever fantasized about space travel but can't afford the $20 million ticket to ride a russian rocket should catch this imax offering . 
",1,1
97,"thoroughly enjoyable . 
",1,1
98,"a terrific b movie -- in fact , the best in recent memory . 
",1,1
99,"at times funny and at other times candidly revealing , it's an intriguing look at two performers who put themselves out there because they love what they do . 
",1,1
100,"a film in a class with spike lee's masterful do the right thing . 
",1,1
101,"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise . 
",1,1
102,"you watch for that sense of openness , the little surprises . 
",1,1
103,"[gulpilil] is a commanding screen presence , and his character's abundant humanism makes him the film's moral compass . 
",1,1
104,"an enjoyable feel-good family comedy regardless of race . 
",1,1
105,"it's not a great monster movie . but if you've paid a matinee price and bought a big tub of popcorn , there's guilty fun to be had here . chomp chomp ! 
",1,1
106,"for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . 
",1,1
107,"heaven is a haunting dramatization of a couple's moral ascension . 
",1,1
108,"while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation . 
",1,1
109,"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need . 
",1,1
110,"my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it's virtually its own hollywood remake . 
",1,1
111," "" it's all about the image . "" 
",1,1
112,"to honestly address the flaws inherent in how medical aid is made available to american workers , a more balanced or fair portrayal of both sides will be needed . 
",1,1
113,"an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation . 
",1,1
114,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . 
",1,1
115,"not a film to rival to live , but a fine little amuse-bouche to keep your appetite whetted . 
",1,1
116,"it's a diverting enough hour-and-a-half for the family audience . 
",1,1
117,"on its own , big trouble could be considered a funny little film . 
",1,1
118,"there's no reason to miss interview with the assassin
",1,1
119,"just about the surest bet for an all-around good time at the movies this summer . 
",1,1
120,"perhaps it's cliche to call the film 'refreshing , ' but it is . 'drumline' shows a level of young , black manhood that is funny , touching , smart and complicated . 
",1,1
121,"if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force . 
",1,1
122,"jeffrey tambor's performance as the intelligent jazz-playing exterminator is oscar-worthy . 
",1,1
123,"despite its old-hat set-up and predictable plot , empire still has enough moments to keep it entertaining . 
",1,1
124,"more than anything else , kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again . 
",1,1
125,"pray's film works well and will appeal even to those who aren't too familiar with turntablism . 
",1,1
126,"jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers . 
",1,1
127,"a stirring road movie . 
",1,1
128,"suspend your disbelief here and now , or you'll be shaking your head all the way to the credits . 
",1,1
129,"effective but too-tepid biopic
",1,1
130,"works as pretty contagious fun . 
",1,1
131,"we want the funk - and this movie's got it . 
",1,1
132,"the film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work . 
",1,1
133,"one of the funnier movies in town . 
",1,1
134,"[has] an immediacy and an intimacy that sucks you in and dares you not to believe it's all true . 
",1,1
135,"fans of the modern day hong kong action film finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for . 
",1,1
136,"it's a good film , but it falls short of its aspiration to be a true 'epic' . 
",1,1
137,"its rawness and vitality give it considerable punch . 
",1,1
138,"take any 12-year-old boy to see this picture , and he'll be your slave for a year . 
",1,1
139,"a rather brilliant little cult item : a pastiche of children's entertainment , superhero comics , and japanese animation . 
",1,1
140,"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece . 
",1,1
141,"a good piece of work more often than not . 
",1,1
142,"a compelling story of musical passion against governmental odds . 
",1,1
143,"invigorating , surreal , and resonant with a rainbow of emotion . 
",1,1
144,"a resonant tale of racism , revenge and retribution . 
",1,1
145,"frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him . 
",1,1
146,"mr . polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival . 
",1,1
147,"at nearly three hours , the whole of safe conduct is less than the sum of its parts . 
",1,1
148,"that rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film . 
",1,1
149,"haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you're not sure if you should applaud or look into having him committed . 
",1,1
150,"the film grows on you . and how . 
",1,1
151,"what makes the movie work — to an admittedly limited extent — is the commitment of two genuinely engaging performers . weaver and lapaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk . 
",1,1
152,"goofy , nutty , consistently funny . and educational ! 
",1,1
153,"a subtle , humorous , illuminating study of politics , power and social mobility . 
",1,1
154,"steers , in his feature film debut , has created a brilliant motion picture . 
",1,1
155,"wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture . 
",1,1
156,"a plethora of engaging diatribes on the meaning of 'home , ' delivered in grand passion by the members of the various households . 
",1,1
157,"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . 
",1,1
158,"impresses you with its open-endedness and surprises . 
",1,1
159,"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs . 
",1,1
160,"full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , time out is a discreet moan of despair about entrapment in the maze of modern life . 
",1,1
161,"its compelling mix of trial movie , escape movie and unexpected fable ensures the film never feels draggy . 
",1,1
162,"the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) third…emotionally belittle a cinema classic . sometimes shorter is better . 
",1,1
163,"a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age . 
",1,1
164,"the script's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off . 
",1,1
165,"the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year . 
",1,1
166,"but this is lohman's film . her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks . 
",1,1
167,"anchored by a terrific performance by abbass , satin rouge shows that the idea of women's self-actualization knows few continental divides . 
",1,1
168,"[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll . 
",1,1
169,"it's stylishly directed with verve . . . 
",1,1
170,"great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex . 
",1,1
171,"the whole mildly pleasant outing -- the r rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of tim allen . 
",1,1
172,"most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness . 
",1,1
173,"several degrees shy of the gross-out contests one expects from current teen fare . 
",1,1
174,"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it . 
",1,1
175,"certainly the performances are worthwhile . 
",1,1
176,"there's a disreputable air about the whole thing , and that's what makes it irresistible . 
",1,1
177,"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars
",1,1
178,"buy is an accomplished actress , and this is a big , juicy role . 
",1,1
179,"this one is strictly a lightweight escapist film . 
",1,1
180,"it's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas . 
",1,1
181,"the movie is a trove of delights . 
",1,1
182,"an elegant , exquisitely modulated psychological thriller . 
",1,1
183,"you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report . 
",1,1
184," . . . while dark water isn't a complete wash ( no pun intended ) , watched side-by-side with ringu , it ultimately comes off as a pale successor . 
",1,1
185,"intimate and panoramic . 
",1,1
186,"an exquisitely crafted and acted tale . 
",1,1
187,"still pretentious and filled with subtext , but entertaining enough at 'face value' to recommend to anyone looking for something different . 
",1,1
188,"an amusing , breezily apolitical documentary about life on the campaign trail . 
",1,1
189,"a very capable nailbiter . 
",1,1
190,"this is one of those war movies that focuses on human interaction rather than battle and action sequences . . . and it's all the stronger because of it . 
",1,1
191,"stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid . 
",1,1
192,"maggie smith as the ya-ya member with the o2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment . 
",1,1
193,"entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining ! 
",1,1
194,"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer . 
",1,1
195,"foster breathes life into a roll that could have otherwise been bland and run of the mill . 
",1,1
196,"a serviceable euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom — handguns , bmws and seaside chateaus . 
",1,1
197,"'possession , ' based on the book by a . s . byatt , demands that labute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit
",1,1
198,"watching these two actors play against each other so intensely , but with restraint , is a treat . 
",1,1
199,"it's no accident that the accidental spy is a solid action pic that returns the martial arts master to top form . 
",1,1
200,"a masterpiece four years in the making . 
",1,1
201,"if reno is to the left of liberal on the political spectrum , her tough , funny , rather chaotic show isn't subversive so much as it is nit-picky about the hypocrisies of our time . 
",1,1
202,"angel presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale . 
",1,1
203,"an intelligent , multi-layered and profoundly humanist ( not to mention gently political ) meditation on the values of knowledge , education , and the affects of cultural and geographical displacement . 
",1,1
204,"a slick , skillful little horror film . 
",1,1
205,"while the plot follows a predictable connect-the-dots course . . . director john schultz colors the picture in some evocative shades . 
",1,1
206,"it's about individual moments of mood , and an aimlessness that's actually sort of amazing . 
",1,1
207,"a witty , whimsical feature debut . 
",1,1
208,"an extraordinary swedish film about the soul adventure of marriage -- the kind of intimate and character-driven film that bille august does best . 
",1,1
209,"the word that comes to mind , while watching eric rohmer's tribute to a courageous scottish lady , is painterly . 
",1,1
210,"each of these stories has the potential for touched by an angel simplicity and sappiness , but thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments . 
",1,1
211,"fast , frantic and fun , but also soon forgotten
",1,1
212,"not so much a movie as a picture book for the big screen . this isn't my favorite in the series , still i enjoyed it enough to recommend . 
",1,1
213,"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but otherwise the production is suitably elegant . 
",1,1
214,"could this be the first major studio production shot on video tape instead of film ? 
",1,1
215,"for most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche . 
",1,1
216,"bloody sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made . it's a movie that accomplishes so much that one viewing can't possibly be enough . 
",1,1
217,"lovely and amazing is holofcener's deep , uncompromising curtsy to women she knows , and very likely is . when all is said and done , she loves them to pieces -- and so , i trust , will you . 
",1,1
218,"though overall an overwhelmingly positive portrayal , the film doesn't ignore the more problematic aspects of brown's life . 
",1,1
219,"watstein handily directs and edits around his screenplay's sappier elements . . . and sustains off the hook's buildup with remarkable assuredness for a first-timer . 
",1,1
220,"it's a testament to de niro and director michael caton-jones that by movie's end , we accept the characters and the film , flaws and all . 
",1,1
221,"evokes the 19th century with a subtlety that is an object lesson in period filmmaking . 
",1,1
222,"una pelнcula oscura , precisa , por momentos grandiosa y casi siempre conmovedora . 
",1,1
223,"it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . 
",1,1
224,"leigh is one of the rare directors who feels acting is the heart and soul of cinema . he allows his cast members to make creative contributions to the story and dialogue . this method almost never fails him , and it works superbly here . 
",1,1
225,"a reminder that beyond all the hype and recent digital glitz , spielberg knows how to tell us about people . 
",1,1
226,"manages to transcend the sex , drugs and show-tunes plot into something far richer . 
",1,1
227,"the principals in this cast are all fine , but bishop and stevenson are standouts . 
",1,1
228,"an average coming-of-age tale elevated by the wholesome twist of a pesky mother interfering during her son's discovery of his homosexuality . 
",1,1
229,"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level . 
",1,1
230,"there are moments in this account of the life of artist frida kahlo that are among cinema's finest this year . unfortunately , they're sandwiched in between the most impossibly dry account of kahlo's life imaginable . 
",1,1
231,"one of the smarter offerings the horror genre has produced in recent memory , even if it's far tamer than advertised . 
",1,1
232,"my wife is an actress works as well as it does because [the leads] are such a companionable couple . 
",1,1
233," . . . myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-tarantino pop-culture riffs . . . 
",1,1
234,"the way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator-bashing are consistently delightful . 
",1,1
235,"you walk out of the good girl with mixed emotions — disapproval of justine combined with a tinge of understanding for her actions . 
",1,1
236,"lohman adapts to the changes required of her , but the actress and director peter kosminsky never get the audience to break through the wall her character erects
",1,1
237,"a delightful entree in the tradition of food movies . 
",1,1
238," "" the turntable is now outselling the electric guitar . . . "" 
",1,1
239,"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults . 
",1,1
240,"it's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart . 
",1,1
241,"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance . 
",1,1
242," ( danny huston gives ) an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent's smirk . 
",1,1
243,"harsh , effective documentary on life in the israeli-occupied palestinian territories . 
",1,1
244,"the case is a convincing one , and should give anyone with a conscience reason to pause . 
",1,1
245,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya . 
",1,1
246,"dogtown & z-boys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean . 
",1,1
247,"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results . 
",1,1
248,"the entire cast is extraordinarily good . 
",1,1
249,"you can take the grandkids or the grandparents and never worry about anyone being bored . . . audience is a sea of constant smiles and frequent laughter . 
",1,1
250,"an impossible romance , but we root for the patronized iranian lad . 
",1,1
251,"a sharp , amusing study of the cult of celebrity . 
",1,1
252,"on the surface a silly comedy , scotland , pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play . 
",1,1
253,"this film is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success . 
",1,1
254,"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship . 
",1,1
255,"shamelessly resorting to pee-related sight gags that might even cause tom green a grimace ; still , myer's energy and the silliness of it all eventually prevail
",1,1
256,"this is a movie that refreshes the mind and spirit along with the body , so original is its content , look , and style . 
",1,1
257,"go see it and enjoy . 
",1,1
258,"director david jacobson gives dahmer a consideration that the murderer never game his victims . 
",1,1
259,"it inspires a continuing and deeply satisfying awareness of the best movies as monumental 'picture shows . '
",1,1
260,"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear . 
",1,1
261,"the stripped-down dramatic constructs , austere imagery and abstract characters are equal parts poetry and politics , obvious at times but evocative and heartfelt . 
",1,1
262,"the draw [for "" big bad love "" ] is a solid performance by arliss howard . 
",1,1
263,"the pianist is polanski's best film . 
",1,1
264,"while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation . 
",1,1
265,"it strikes hardest… when it reminds you how pertinent its dynamics remain . fifty years after the fact , the world's political situation seems little different , and [director phillip] noyce brings out the allegory with remarkable skill . 
",1,1
266,"a very funny romantic comedy about two skittish new york middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles . 
",1,1
267," . . . a lesson in prehistoric hilarity . 
",1,1
268,"broomfield turns his distinctive 'blundering' style into something that could really help clear up the case . 
",1,1
269,"passionate , irrational , long-suffering but cruel as a tarantula , helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats . 
",1,1
270,"mel gibson fights the good fight in vietnam in director randall wallace's flag-waving war flick with a core of decency . 
",1,1
271,"a tremendous piece of work . 
",1,1
272,"overall , it's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs . 
",1,1
273,"call me a wimp , but i cried , not once , but three times in this animated sweet film . 
",1,1
274,"slow and ponderous , but rohmer's drama builds to an intense indoor drama about compassion , sacrifice , and christian love in the face of political corruption . 
",1,1
275,"straightforward and old-fashioned in the best possible senses of both those words , possession is a movie that puts itself squarely in the service of the lovers who inhabit it . 
",1,1
276,"most of the things that made the original men in black such a pleasure are still there . 
",1,1
277,"more intimate than spectacular , e . t . is carried less by wow factors than by its funny , moving yarn that holds up well after two decades . 
",1,1
278,"as a singular character study , it's perfect . it's also the year's sweetest movie . 
",1,1
279,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . 
",1,1
280,"leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago . 
",1,1
281,"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one . 
",1,1
282,"charles' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams' attempts to get his shot at the big time . 
",1,1
283,"at once disarmingly straightforward and strikingly devious . 
",1,1
284,"woody allen's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz . 
",1,1
285,"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . 
",1,1
286,"buy popcorn . take nothing seriously and enjoy the ride . 
",1,1
287,"a smart , witty follow-up . 
",1,1
288,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant . 
",1,1
289,"the film's 45-minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen . 
",1,1
290,"combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why didn't hollywood think of this sooner ? 
",1,1
291,"family fare . 
",1,1
292,"adaptation is simply brilliant . 
",1,1
293,"film can't quite maintain its initial momentum , but remains sporadically funny throughout . 
",1,1
294,"about a boy vividly recalls the cary grant of room for one more , houseboat and father goose in its affectionate depiction of the gentle war between a reluctant , irresponsible man and the kid who latches onto him . 
",1,1
295,"assayas' ambitious , sometimes beautiful adaptation of jacques chardonne's novel . 
",1,1
296,"the story . . . is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is . it is also a testament to the integrity and vision of the band . 
",1,1
297,"neither the funniest film that eddie murphy nor robert de niro has ever made , showtime is nevertheless efficiently amusing for a good while . before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway . 
",1,1
298,"you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . 
",1,1
299,"you never know where changing lanes is going to take you but it's a heck of a ride . samuel l . jackson is one of the best actors there is . 
",1,1
